"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Thakurganj,53,GEN,Kishanganj,Gopal Kumar Agarwal,Janata Dal (United),296323,241958,81.7 %,8822,3.6%
Tikari,231,GEN,Gaya,Ajay Kumar,Rashtriya Janata Dal,299668,208757,69.7 %,2058,1.0%
Triveniganj,44,SC,Supaul,Sonam Rani,Janata Dal (United),303395,217542,71.7 %,5683,2.6%
Ujiarpur,134,GEN,Samastipur,Alok Kumar Mehta,Rashtriya Janata Dal,307873,227918,74.0 %,16283,7.1%
Vaishali,125,GEN,Vaishali,Siddharth Patel,Janata Dal (United),336271,233122,69.3 %,32590,14.0%
Valmiki Nagar,1,GEN,Pashchim Champaran,Surendra Prasad,Indian National Congress,329764,227232,68.9 %,1675,0.7%
Warisnagar,132,GEN,Samastipur,Manjarik Mrinal,Janata Dal (United),323162,229178,70.9 %,34436,15.0%
Warsaliganj,239,GEN,Nawada,Anita,Rashtriya Janata Dal,343886,196712,57.2 %,7543,3.8%
Wazirganj,234,GEN,Gaya,Birendra Singh,Bharatiya Janta Party,312935,205752,65.7 %,12733,6.2%
Ziradei,106,GEN,Siwan,Bhism Pratap Singh,Janata Dal (United),275160,153219,55.7 %,2626,1.7%
