Constituency_Num,Constituency_Name,Serial_Num,Candidate_Name,Party_Name,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percent,Total_Rounds,Current_Round,State,District,Constituency_Category,Coalition,Election_Year
202,Rajapalayam,5,Ramadevi. T,Puthiya Tamilagam,2485,59,2544,1.39,21,21,Tamil Nadu,Virudhunagar,General,,2026
202,Rajapalayam,6,Jegadeshwari. K,Tamilaga Vettri Kazhagam,64947,601,65548,35.81,21,21,Tamil Nadu,Virudhunagar,General,,2026
202,Rajapalayam,7,Harish. A,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1531,16,1547,0.85,21,21,Tamil Nadu,Virudhunagar,General,,2026
202,Rajapalayam,8,Alagupandian. A,Independent,75,0,75,0.04,21,21,Tamil Nadu,Virudhunagar,General,,2026
202,Rajapalayam,9,Alagumurugan. S,Independent,267,1,268,0.15,21,21,Tamil Nadu,Virudhunagar,General,,2026
202,Rajapalayam,10,Ganesan. K,Independent,94,1,95,0.05,21,21,Tamil Nadu,Virudhunagar,General,,2026
202,Rajapalayam,11,Shanmugachandra Velavan. C.C,Independent,135,2,137,0.07,21,21,Tamil Nadu,Virudhunagar,General,,2026
202,Rajapalayam,12,Saravanan. G,Independent,117,2,119,0.07,21,21,Tamil Nadu,Virudhunagar,General,,2026
202,Rajapalayam,13,Samuel Raj,Independent,139,1,140,0.08,21,21,Tamil Nadu,Virudhunagar,General,,2026
202,Rajapalayam,14,Selvakumar. A,Independent,178,2,180,0.1,21,21,Tamil Nadu,Virudhunagar,General,,2026
202,Rajapalayam,15,Selvi. K,Independent,291,7,298,0.16,21,21,Tamil Nadu,Virudhunagar,General,,2026
202,Rajapalayam,16,Thangapandi. B,Independent,304,0,304,0.17,21,21,Tamil Nadu,Virudhunagar,General,,2026
202,Rajapalayam,17,Balamurugan. V,Independent,202,1,203,0.11,21,21,Tamil Nadu,Virudhunagar,General,,2026
202,Rajapalayam,18,Manmathan. M,Independent,411,3,414,0.23,21,21,Tamil Nadu,Virudhunagar,General,,2026
202,Rajapalayam,19,Muthulakshmi. R,Independent,351,0,351,0.19,21,21,Tamil Nadu,Virudhunagar,General,,2026
202,Rajapalayam,20,Murugan. D,Independent,170,1,171,0.09,21,21,Tamil Nadu,Virudhunagar,General,,2026
202,Rajapalayam,21,Vijendran. G,Independent,107,1,108,0.06,21,21,Tamil Nadu,Virudhunagar,General,,2026
202,Rajapalayam,22,Jegathishwari. N,Independent,291,1,292,0.16,21,21,Tamil Nadu,Virudhunagar,General,,2026
202,Rajapalayam,23,Nota,None of the Above,730,23,753,0.41,21,21,Tamil Nadu,Virudhunagar,General,,2026
203,Srivilliputhur,1,Karikalapandiyan.A,Naam Tamilar Katchi,12948,326,13274,6.86,24,24,Tamil Nadu,Virudhunagar,SC,,2026
203,Srivilliputhur,2,Chandraprabha.M,All India Anna Dravida Munnetra Kazhagam,42148,691,42839,22.14,24,24,Tamil Nadu,Virudhunagar,SC,NDA,2026
203,Srivilliputhur,3,Mahalingam.P,Communist Party of India,56261,811,57072,29.5,24,24,Tamil Nadu,Virudhunagar,SC,SPA,2026
