Constituency_Num,Constituency_Name,Serial_Num,Candidate_Name,Party_Name,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percent,Total_Rounds,Current_Round,State,District,Constituency_Category,Coalition,Election_Year
239,Balarampur,2,Jaladhar Mahato,Bharatiya Janata Party,117315,1106,118421,53.84,22,22,West Bengal,Purulia,General,,2026
239,Balarampur,3,Namita Mahato,Communist Party of India (Marxist),6538,37,6575,2.99,22,22,West Bengal,Purulia,General,Left–Congress alliance,2026
239,Balarampur,4,Shantiram Mahato,All India Trinamool Congress,82838,532,83370,37.9,22,22,West Bengal,Purulia,General,,2026
239,Balarampur,5,Sukanta Mahato,Indian National Congress,2818,12,2830,1.29,22,22,West Bengal,Purulia,General,Left–Congress alliance,2026
239,Balarampur,6,Bholanath Murmmu,Socialist Unity Centre Of India (COMMUNIST),653,3,656,0.3,22,22,West Bengal,Purulia,General,,2026
239,Balarampur,7,Sharat Sahis,Rashtriya Lok Janshakti Party,685,0,685,0.31,22,22,West Bengal,Purulia,General,,2026
239,Balarampur,8,Sitaram Hansda,Ambedkarite Party of India,1627,3,1630,0.74,22,22,West Bengal,Purulia,General,,2026
239,Balarampur,9,Ajay Gorain,Independent,629,1,630,0.29,22,22,West Bengal,Purulia,General,,2026
239,Balarampur,10,Rabilal Mandi,Independent,1072,5,1077,0.49,22,22,West Bengal,Purulia,General,,2026
239,Balarampur,11,Nota,None of the Above,2366,8,2374,1.08,22,22,West Bengal,Purulia,General,,2026
240,Baghmundi,1,Nepal Chandra Mahato,Indian National Congress,31466,220,31686,13.77,22,22,West Bengal,Purulia,General,Left–Congress alliance,2026
240,Baghmundi,2,Parimal Kumar,All India Forward Bloc,4735,47,4782,2.08,22,22,West Bengal,Purulia,General,Left–Congress alliance,2026
240,Baghmundi,3,Rahidas Mahato,Bharatiya Janata Party,111562,1101,112663,48.95,22,22,West Bengal,Purulia,General,,2026
240,Baghmundi,4,Sushanta Mahato,All India Trinamool Congress,71393,453,71846,31.22,22,22,West Bengal,Purulia,General,,2026
240,Baghmundi,5,Paritosh Singh Babu,Socialist Unity Centre Of India (COMMUNIST),1122,5,1127,0.49,22,22,West Bengal,Purulia,General,,2026
240,Baghmundi,6,Pashupati Mahato,Amra Bangalee,408,2,410,0.18,22,22,West Bengal,Purulia,General,,2026
240,Baghmundi,7,Manoj Kumar Mahato,Jharkhand Loktantrik Krantikari Morcha,1753,4,1757,0.76,22,22,West Bengal,Purulia,General,,2026
240,Baghmundi,8,Ujjwal Paramanik,Independent,433,0,433,0.19,22,22,West Bengal,Purulia,General,,2026
240,Baghmundi,9,Tushar Mahato,Independent,989,1,990,0.43,22,22,West Bengal,Purulia,General,,2026
240,Baghmundi,10,Mihir Chandra Mahato,Independent,1312,3,1315,0.57,22,22,West Bengal,Purulia,General,,2026
240,Baghmundi,11,Suman Kumar Singha,Independent,690,1,691,0.3,22,22,West Bengal,Purulia,General,,2026
240,Baghmundi,12,Nota,None of the Above,2428,9,2437,1.06,22,22,West Bengal,Purulia,General,,2026
241,Joypur,1,Arjun Mahato,All India Trinamool Congress,82013,437,82450,35.36,24,24,West Bengal,Purulia,General,,2026
241,Joypur,2,Dhirendranath Mahato,All India Forward Bloc,5736,69,5805,2.49,24,24,West Bengal,Purulia,General,Left–Congress alliance,2026
241,Joypur,3,Phanibhushan Kumar,Indian National Congress,23117,146,23263,9.98,24,24,West Bengal,Purulia,General,Left–Congress alliance,2026
241,Joypur,4,Biswajit Mahato,Bharatiya Janata Party,103904,764,104668,44.88,24,24,West Bengal,Purulia,General,,2026
241,Joypur,5,Dibyajoti Singh Deo,Jharkhand Loktantrik Krantikari Morcha,9105,47,9152,3.92,24,24,West Bengal,Purulia,General,,2026
241,Joypur,6,Shakti Pada Gorain,Amra Bangalee,840,9,849,0.36,24,24,West Bengal,Purulia,General,,2026
241,Joypur,7,Suphal Chandra Kumar,Socialist Unity Centre Of India (COMMUNIST),984,2,986,0.42,24,24,West Bengal,Purulia,General,,2026
241,Joypur,8,Animesh Mahato,Independent,818,1,819,0.35,24,24,West Bengal,Purulia,General,,2026
241,Joypur,9,Ashok Kumar Murmu,Independent,1169,16,1185,0.51,24,24,West Bengal,Purulia,General,,2026
241,Joypur,10,Joyram Murmu,Independent,782,5,787,0.34,24,24,West Bengal,Purulia,General,,2026
241,Joypur,11,Nota,None of the Above,3233,6,3239,1.39,24,24,West Bengal,Purulia,General,,2026
242,Purulia,1,Dibyajyoti Prasad Singh Deo,Indian National Congress,4318,49,4367,1.89,22,22,West Bengal,Purulia,General,Left–Congress alliance,2026
242,Purulia,2,Partha Bauri,Bahujan Samaj Party,610,1,611,0.26,22,22,West Bengal,Purulia,General,,2026
242,Purulia,3,Sayantan Ghosh,Communist Party of India (Marxist),10521,154,10675,4.63,22,22,West Bengal,Purulia,General,Left–Congress alliance,2026
242,Purulia,4,Sujoy Banerjee,All India Trinamool Congress,78714,487,79201,34.34,22,22,West Bengal,Purulia,General,,2026
242,Purulia,5,Sudip Kumar Mukherjee,Bharatiya Janata Party,127078,1376,128454,55.69,22,22,West Bengal,Purulia,General,,2026
242,Purulia,6,Dhiren Rajak,Bharateeya Manavadhikar party,895,5,900,0.39,22,22,West Bengal,Purulia,General,,2026
242,Purulia,7,Nageswar Mahato,Amra Bangalee,399,2,401,0.17,22,22,West Bengal,Purulia,General,,2026
242,Purulia,8,Nirod Baran Ojha,Party for Democratic Socialism,323,4,327,0.14,22,22,West Bengal,Purulia,General,,2026
242,Purulia,9,Bidesh Chandra Paul,Rashtriya Lok Janshakti Party,521,0,521,0.23,22,22,West Bengal,Purulia,General,,2026
242,Purulia,10,Mathan Chandra Mahato,Bahujan Mukti Party,908,0,908,0.39,22,22,West Bengal,Purulia,General,,2026
242,Purulia,11,Shobha Mahato,Socialist Unity Centre Of India (COMMUNIST),1323,12,1335,0.58,22,22,West Bengal,Purulia,General,,2026
242,Purulia,12,Pintu Bauri,Independent,638,1,639,0.28,22,22,West Bengal,Purulia,General,,2026
242,Purulia,13,Pijush Kanti Rajak,Independent,585,1,586,0.25,22,22,West Bengal,Purulia,General,,2026
242,Purulia,14,Nota,None of the Above,1706,22,1728,0.75,22,22,West Bengal,Purulia,General,,2026
243,Manbazar,1,Mamata Hansda (Mandi),Bahujan Samaj Party,1780,7,1787,0.76,16,16,West Bengal,Purulia,ST,,2026
243,Manbazar,2,Mayna Murmu,Bharatiya Janata Party,119195,1292,120487,50.95,16,16,West Bengal,Purulia,ST,,2026
243,Manbazar,3,Shantimani Murmu,Communist Party of India (Marxist),13262,148,13410,5.67,16,16,West Bengal,Purulia,ST,Left–Congress alliance,2026
243,Manbazar,4,Sandhya Rani Tudu,All India Trinamool Congress,92564,640,93204,39.42,16,16,West Bengal,Purulia,ST,,2026
243,Manbazar,5,Sambari Mahali,Indian National Congress,2017,20,2037,0.86,16,16,West Bengal,Purulia,ST,Left–Congress alliance,2026
243,Manbazar,6,Ranjit Kumar Hansda,Aam Janata Unnayan party,944,3,947,0.4,16,16,West Bengal,Purulia,ST,,2026
243,Manbazar,7,Swapan Kumar Murmu,Socialist Unity Centre Of India (COMMUNIST),813,2,815,0.34,16,16,West Bengal,Purulia,ST,,2026
243,Manbazar,8,Amulya Saren,Independent,1667,2,1669,0.71,16,16,West Bengal,Purulia,ST,,2026
243,Manbazar,9,Nota,None of the Above,2098,13,2111,0.89,16,16,West Bengal,Purulia,ST,,2026
244,Kashipur,1,Kamala Kanta Hansda,Bharatiya Janata Party,105349,1222,106571,50.28,16,16,West Bengal,Purulia,General,,2026
244,Kashipur,2,Bauri Sulekha,Communist Party of India (Marxist),10677,141,10818,5.1,16,16,West Bengal,Purulia,General,Left–Congress alliance,2026
244,Kashipur,3,Subhas Chandra Mahata,Indian National Congress,2277,27,2304,1.09,16,16,West Bengal,Purulia,General,Left–Congress alliance,2026
244,Kashipur,4,Soumen Beltharia,All India Trinamool Congress,84623,672,85295,40.24,16,16,West Bengal,Purulia,General,,2026
244,Kashipur,5,Dipak Mahato,Socialist Unity Centre Of India (COMMUNIST),1460,16,1476,0.7,16,16,West Bengal,Purulia,General,,2026
244,Kashipur,6,Mihir Kumar Bauri,Independent,1018,4,1022,0.48,16,16,West Bengal,Purulia,General,,2026
244,Kashipur,7,Shantipriya Saren,Independent,536,7,543,0.26,16,16,West Bengal,Purulia,General,,2026
244,Kashipur,8,Subhadip Paramanik,Independent,1138,10,1148,0.54,16,16,West Bengal,Purulia,General,,2026
244,Kashipur,9,Nota,None of the Above,2784,13,2797,1.32,16,16,West Bengal,Purulia,General,,2026
245,Para,1,Aloke Kumar Bauri,Communist Party of India (Marxist),10362,57,10419,4.82,23,23,West Bengal,Purulia,SC,Left–Congress alliance,2026
245,Para,2,Nadiar Chand Bouri,Bharatiya Janata Party,112838,650,113488,52.55,23,23,West Bengal,Purulia,SC,,2026
245,Para,3,Falguni Bauri,Indian National Congress,2874,13,2887,1.34,23,23,West Bengal,Purulia,SC,Left–Congress alliance,2026
245,Para,4,Manik Chandra Bauri,All India Trinamool Congress,79456,311,79767,36.94,23,23,West Bengal,Purulia,SC,,2026
245,Para,5,Mithun Bauri,Bahujan Samaj Party,1129,3,1132,0.52,23,23,West Bengal,Purulia,SC,,2026
245,Para,6,Jagannath Bauri,Socialist Unity Centre Of India (COMMUNIST),1265,8,1273,0.59,23,23,West Bengal,Purulia,SC,,2026
245,Para,7,Sudarshan Rajwar,Rastriya Aam Jan Seva Party,498,0,498,0.23,23,23,West Bengal,Purulia,SC,,2026
245,Para,8,Ashok Ruhidas,Independent,1101,3,1104,0.51,23,23,West Bengal,Purulia,SC,,2026
245,Para,9,Bhaskar Mandal,Independent,1107,1,1108,0.51,23,23,West Bengal,Purulia,SC,,2026
245,Para,10,Shaktipada Sen,Independent,1478,4,1482,0.69,23,23,West Bengal,Purulia,SC,,2026
245,Para,11,Nota,None of the Above,2775,13,2788,1.29,23,23,West Bengal,Purulia,SC,,2026
246,Raghunathpur,1,Ganesh Bouri,Communist Party of India (Marxist),10589,96,10685,4.56,16,16,West Bengal,Purulia,General,Left–Congress alliance,2026
246,Raghunathpur,2,Mahadeb Bauri,Bahujan Samaj Party,1194,11,1205,0.51,16,16,West Bengal,Purulia,General,,2026
246,Raghunathpur,3,Mamoni Bauri,Bharatiya Janata Party,126532,1096,127628,54.44,16,16,West Bengal,Purulia,General,,2026
246,Raghunathpur,4,Sandhya Bauri,Indian National Congress,3044,21,3065,1.31,16,16,West Bengal,Purulia,General,Left–Congress alliance,2026
246,Raghunathpur,5,Hazari Bouri,All India Trinamool Congress,83110,459,83569,35.65,16,16,West Bengal,Purulia,General,,2026
246,Raghunathpur,6,Anil Bauri,Socialist Unity Centre Of India (COMMUNIST),2498,16,2514,1.07,16,16,West Bengal,Purulia,General,,2026
246,Raghunathpur,7,Dharani Dhar Bauri,Independent,1375,3,1378,0.59,16,16,West Bengal,Purulia,General,,2026
246,Raghunathpur,8,Mamani Bouri,Independent,1181,5,1186,0.51,16,16,West Bengal,Purulia,General,,2026
246,Raghunathpur,9,Nota,None of the Above,3176,25,3201,1.37,16,16,West Bengal,Purulia,General,,2026
247,Saltora,1,Amarkanta Mandal,Indian National Congress,3078,25,3103,1.42,15,15,West Bengal,Bankura,SC,Left–Congress alliance,2026
247,Saltora,2,Uttam Bauri,All India Trinamool Congress,82467,578,83045,38.01,15,15,West Bengal,Bankura,SC,,2026
247,Saltora,3,Chandana Bauri,Bharatiya Janata Party,114278,902,115180,52.72,15,15,West Bengal,Bankura,SC,,2026
247,Saltora,4,Nandadulal Bauri,Communist Party of India (Marxist),10404,96,10500,4.81,15,15,West Bengal,Bankura,SC,Left–Congress alliance,2026
