constituency_no,constituency,serial_num,candidate_name,party,evmvotes,postalvotes,totalvotes,vote_percent,coalition
145,Sahebpur Kamal,6,Md Meraj,Samata Party,490,0,490,0.26,
145,Sahebpur Kamal,7,Surendra Kumar,Parivartan Party of India,674,3,677,0.36,
145,Sahebpur Kamal,8,Md. Aftab Alam,Independent,392,2,394,0.21,
145,Sahebpur Kamal,9,Priyanka Kumari,Independent,727,3,730,0.38,
145,Sahebpur Kamal,10,Vivekanand Prasad,Independent,473,3,476,0.25,
145,Sahebpur Kamal,11,Vishwajeet Kumar Alias Vikas,Independent,1283,2,1285,0.68,
145,Sahebpur Kamal,12,Shashikant Kumar Shashi Alias Amar Kumar Singh,Independent,34661,120,34781,18.34,
145,Sahebpur Kamal,13,Md. Shahzaduzzama Alias Saify,Independent,4904,1,4905,2.59,
145,Sahebpur Kamal,14,Sentu Kumar,Independent,981,2,983,0.52,
145,Sahebpur Kamal,15,Nota,None of the Above,1745,6,1751,0.92,
146,Begusarai,1,Amita Bhushan,Indian National Congress,88345,529,88874,38.9,MGB
146,Begusarai,2,Kundan Kumar,Bharatiya Janata Party,119135,371,119506,52.31,NDA
146,Begusarai,3,Mira Singh,Aam Aadmi Party,1113,2,1115,0.49,
146,Begusarai,4,Mohammad Abdul Haque,Bahujan Samaj Party,369,3,372,0.16,
146,Begusarai,5,Gautam Kumar,Socialist Unity Centre Of India (COMMUNIST),215,1,216,0.09,
146,Begusarai,6,Ramkrishna Mahto,Janshakti Janta Dal,519,0,519,0.23,
146,Begusarai,7,Surendra Kumar Sahani,Jan Suraaj Party,7711,62,7773,3.4,
146,Begusarai,8,Sushil Kumar,Samata Party,722,5,727,0.32,
146,Begusarai,9,Arun Kumar,Independent,375,0,375,0.16,
146,Begusarai,10,Md Gaffar Khan,Independent,519,0,519,0.23,
146,Begusarai,11,Pinki Sinha,Independent,425,0,425,0.19,
146,Begusarai,12,Manoj Kumar,Independent,537,0,537,0.24,
146,Begusarai,13,Vijay Kumar,Independent,1014,3,1017,0.45,
146,Begusarai,14,Md Saddam Husain,Independent,2909,3,2912,1.27,
146,Begusarai,15,Nota,None of the Above,3544,16,3560,1.56,
147,Bakhri,1,Nira Devi,Rashtriya Lok Janshakti Party,2445,5,2450,1.19,GDA
147,Bakhri,2,Sanjay Kumar,Lok Janshakti Party (Ram Vilas),98368,143,98511,47.67,NDA
147,Bakhri,3,Rajesh Kumar,Rashtriya Suraksha Party,2056,4,2060,1,
147,Bakhri,4,Vikash Kumar,Nationalist Congress Party,609,0,609,0.29,
147,Bakhri,5,Sanjay Kumar,Jan Suraaj Party,11471,58,11529,5.58,
147,Bakhri,6,Suryakant Paswan,Communist Party of India,80837,356,81193,39.29,MGB
147,Bakhri,7,Kiran Kumari,Independent,1419,4,1423,0.69,
147,Bakhri,8,Gautam Sada,Independent,2216,5,2221,1.07,
147,Bakhri,9,Sanjiv Kumar Paswan,Independent,2967,1,2968,1.44,
147,Bakhri,10,Nota,None of the Above,3668,5,3673,1.78,
148,Alauli,1,Dashrath Ram,Bahujan Samaj Party,3066,7,3073,1.71,
148,Alauli,2,Yash Raj,Rashtriya Lok Janshakti Party,14186,75,14261,7.95,GDA
148,Alauli,3,Ram Chandra Sada,Janata Dal (United),92886,322,93208,51.94,NDA
148,Alauli,4,Rambriksh Sada,Rashtriya Janata Dal,57328,148,57476,32.03,MGB
148,Alauli,5,Abhishank Kumar,Jan Suraaj Party,7459,17,7476,4.17,
148,Alauli,6,Nota,None of the Above,3951,2,3953,2.2,
149,Khagaria,1,Chandan Kumar Alias Dr. Chandan Yadav,Indian National Congress,70171,402,70573,38.51,MGB
