constituency_no,constituency,serial_num,candidate_name,party,evmvotes,postalvotes,totalvotes,vote_percent,coalition
1,Valmiki Nagar,1,Dhirendra Pratap Singh Alias Rinku Singh,Janata Dal (United),105771,284,106055,45.39,NDA
1,Valmiki Nagar,2,Rameshwar Yadav,Bahujan Samaj Party,5294,18,5312,2.27,
1,Valmiki Nagar,3,Surendra Prasad,Indian National Congress,107374,356,107730,46.11,MGB
1,Valmiki Nagar,4,Rajesh Sharma,Lok Samaj Party,2301,2,2303,0.99,
1,Valmiki Nagar,5,Azharuddin Ansari,Independent,1553,1,1554,0.67,
1,Valmiki Nagar,6,Mahmad Jalil,Independent,2426,0,2426,1.04,
1,Valmiki Nagar,7,Surendra Ram,Independent,1850,2,1852,0.79,
1,Valmiki Nagar,8,Nota,None of the Above,6391,9,6400,2.74,
2,Ramnagar,1,Aaditya Kumar,Bahujan Samaj Party,2649,14,2663,1.25,
2,Ramnagar,2,Nand Kishor Ram,Bharatiya Janata Party,114958,256,115214,54.13,NDA
2,Ramnagar,3,Subodh Kumar,Rashtriya Janata Dal,79216,318,79534,37.36,MGB
2,Ramnagar,4,Pappu Kumar Ranjan,Jan Suraaj Party,6933,59,6992,3.28,
2,Ramnagar,5,Lalan Paswan,Nationalist Congress Party,613,5,618,0.29,
2,Ramnagar,6,Vashishtha Paswan,Suheldev Bharatiya Samaj Party,1515,2,1517,0.71,
2,Ramnagar,7,Angad Ram,Independent,1842,0,1842,0.87,
2,Ramnagar,8,Santosh Ram,Independent,2294,1,2295,1.08,
2,Ramnagar,9,Nota,None of the Above,2178,6,2184,1.03,
3,Narkatiaganj,1,Deepak Yadav,Rashtriya Janata Dal,73355,231,73586,37.41,MGB
3,Narkatiaganj,2,Md Motiur Rahman,Bahujan Samaj Party,941,10,951,0.48,
3,Narkatiaganj,3,Shashwat Kedar,Indian National Congress,5259,129,5388,2.74,MGB
3,Narkatiaganj,4,Sanjay Kumar Pandey,Bharatiya Janata Party,99815,229,100044,50.86,NDA
3,Narkatiaganj,5,Dilshad Ahmad,Fauji Janta Party,1236,2,1238,0.63,
3,Narkatiaganj,6,Mohammad Rashid Azim,Nationalist Congress Party,289,2,291,0.15,
3,Narkatiaganj,7,Md. Wasiullah,Jan Suraaj Party,4202,36,4238,2.15,
3,Narkatiaganj,8,Ishteyak Ahamad,Independent,3823,8,3831,1.95,
3,Narkatiaganj,9,Dhrup Ram,Independent,676,0,676,0.34,
3,Narkatiaganj,10,Maya Devi,Independent,2314,23,2337,1.19,
3,Narkatiaganj,11,Rajendra Prasad Yadav,Independent,1205,0,1205,0.61,
3,Narkatiaganj,12,Sameer Sunu,Independent,703,0,703,0.36,
3,Narkatiaganj,13,Nota,None of the Above,2201,2,2203,1.12,
4,Bagaha,1,Jayesh Mangalam Singh,Indian National Congress,100165,397,100562,44.59,MGB
4,Bagaha,2,Ram Singh,Bharatiya Janata Party,106638,237,106875,47.39,NDA
4,Bagaha,3,Nandesh Pandey Urf Chunnu Pandey,Jan Suraaj Party,5758,41,5799,2.57,
4,Bagaha,4,Mahfooz Alam,Aazad Samaj Party (Kanshi Ram),2648,11,2659,1.18,GDA
4,Bagaha,5,Rahul Tiwari,Right to Recall Party,1110,1,1111,0.49,
4,Bagaha,6,Shailesh Kumar Chaudhary,Bharat Jan Jagran Dal,1028,0,1028,0.46,
4,Bagaha,7,Dinesh Agrawal,Independent,4231,8,4239,1.88,
4,Bagaha,8,Nota,None of the Above,3253,6,3259,1.45,
5,Lauriya,1,Mohammad Haroon,Bahujan Samaj Party,3426,16,3442,1.8,
5,Lauriya,2,Vinay Bihari,Bharatiya Janata Party,96225,285,96510,50.36,NDA
5,Lauriya,3,Pappu Kumar Thakur,The Plurals Party,4030,5,4035,2.11,
5,Lauriya,4,Ran Kaushal Pratap Singh,Vikassheel Insaan Party,69214,330,69544,36.29,MGB
5,Lauriya,5,Sunil Kumar,Jan Suraaj Party,15609,113,15722,8.2,
5,Lauriya,6,Nota,None of the Above,2385,9,2394,1.25,
6,Nautan,1,Amit Kumar,Indian National Congress,79525,355,79880,38.43,MGB
6,Nautan,2,Narayan Prasad,Bharatiya Janata Party,101725,227,101952,49.05,NDA
6,Nautan,3,Virendra Rao,Bahujan Samaj Party,2700,14,2714,1.31,
6,Nautan,4,Ajeet Kumar Sah,Janshakti Janta Dal,779,3,782,0.38,
6,Nautan,5,Jai Prakash,Nationalist Congress Party,268,2,270,0.13,
6,Nautan,6,Sanjay Prasad Alias Sanjay Kumar Singh,Apni Janta Party,816,6,822,0.4,
6,Nautan,7,Santosh Chaudhari,Jan Suraaj Party,12028,54,12082,5.81,
6,Nautan,8,Chitranjan Kumar Patel,Independent,1530,3,1533,0.74,
6,Nautan,9,Mohammad Ali,Independent,643,2,645,0.31,
6,Nautan,10,Bipin Bihari Pandey,Independent,1990,0,1990,0.96,
6,Nautan,11,Sikandar Ram,Independent,1943,0,1943,0.93,
6,Nautan,12,Nota,None of the Above,3215,5,3220,1.55,
7,Chanpatia,1,Abhishek Ranjan,Indian National Congress,87132,406,87538,40.07,MGB
7,Chanpatia,2,Umakant Singh,Bharatiya Janata Party,86714,222,86936,39.8,NDA
7,Chanpatia,3,Tripurari Kumar Tiwari Alias Manish Kashyap,Jan Suraaj Party,37057,115,37172,17.02,
7,Chanpatia,4,Bipin Tiwari Alias Bipin Nath Tiwari,Loktantrik Jan Swaraj Party,2106,2,2108,0.96,
7,Chanpatia,5,Mohammad Soaib,Independent,2091,1,2092,0.96,
7,Chanpatia,6,Nota,None of the Above,2606,3,2609,1.19,
8,Bettiah,1,Renu Devi,Bharatiya Janata Party,91621,286,91907,46.78,NDA
8,Bettiah,2,Washi Ahmad,Indian National Congress,69258,276,69534,35.39,MGB
8,Bettiah,3,Anil Kumar Singh,Jan Suraaj Party,6245,52,6297,3.21,
8,Bettiah,4,Chhathu Sharma,Jagrook Janta Party,780,0,780,0.4,
8,Bettiah,5,Satish Kumar,Sudharwadi Party,1300,0,1300,0.66,
8,Bettiah,6,Rohit Kumar Sikaria,Independent,24478,187,24665,12.55,
8,Bettiah,7,Nota,None of the Above,1977,4,1981,1.01,
9,Sikta,1,Aurangjeb,Aam Aadmi Party,2510,2,2512,1.19,
9,Sikta,2,Birendra Prasad Gupta,Communist Party of India (Marxist-Leninist) (Liberation),37252,179,37431,17.76,
9,Sikta,3,Santosh Ram,Bahujan Samaj Party,1959,5,1964,0.93,
9,Sikta,4,Sammridh Varma,Janata Dal (United),96911,262,97173,46.11,NDA
9,Sikta,5,Utkarsh Srivastava,Jan Suraaj Party,8143,38,8181,3.88,
9,Sikta,6,Punam Sharma,Jagrook Janta Party,737,0,737,0.35,
9,Sikta,7,Md. Fakhruddin,Rashtriya Jansambhavna Party,2225,0,2225,1.06,
9,Sikta,8,Md Aslam,Independent,1720,2,1722,0.82,
9,Sikta,9,Khurshid Firoz Ahmad,Independent,49795,234,50029,23.74,
9,Sikta,10,Pramod Sah,Independent,1793,0,1793,0.85,
9,Sikta,11,Lalgurad Miyan,Independent,2426,1,2427,1.15,
9,Sikta,12,Nota,None of the Above,4566,2,4568,2.17,
10,Raxaul,1,Pramod Kumar Sinha,Bharatiya Janata Party,106498,267,106765,49.55,NDA
10,Raxaul,2,Shyam Bihari Prasad,Indian National Congress,88382,505,88887,41.26,MGB
10,Raxaul,3,Kapil Dev Prasad,Jan Suraaj Party,14585,71,14656,6.8,
10,Raxaul,4,Md Kalim,Independent,1169,1,1170,0.54,
10,Raxaul,5,Dhurendra Kumar,Independent,1460,0,1460,0.68,
10,Raxaul,6,Nota,None of the Above,2505,5,2510,1.17,
11,Sugauli,1,Zulfiquar Aftab,Bahujan Samaj Party,24750,286,25036,12.59,
11,Sugauli,2,Rajesh Kumar Alias Bablu Gupta,Lok Janshakti Party (Ram Vilas),98595,280,98875,49.74,NDA
11,Sugauli,3,Ajay Kumar Jha,Jan Suraaj Party,24546,172,24718,12.43,
11,Sugauli,4,Jitendra Tiwari,Kisan Suraj Dal,4241,9,4250,2.14,
11,Sugauli,5,Shyam Kishor Chaudhary,Janshakti Janta Dal,40542,142,40684,20.47,
11,Sugauli,6,Nota,None of the Above,5214,13,5227,2.63,
12,Narkatia,1,Vishal Kumar,Janata Dal (United),104104,346,104450,46.7,NDA
12,Narkatia,2,Shamim Ahmad,Rashtriya Janata Dal,102429,578,103007,46.06,MGB
12,Narkatia,3,Lal Babu Prasad,Jan Suraaj Party,6949,53,7002,3.13,
12,Narkatia,4,Umar Farooque,Independent,815,1,816,0.36,
12,Narkatia,5,Washishth Prasad,Independent,1004,2,1006,0.45,
12,Narkatia,6,Md Harun Rashid,Independent,1937,0,1937,0.87,
12,Narkatia,7,Nota,None of the Above,5419,6,5425,2.43,
13,Harsidhi,1,Krishnanandan Paswan,Bharatiya Janata Party,96590,274,96864,47.74,NDA
13,Harsidhi,2,Rajendra Kumar,Rashtriya Janata Dal,89216,553,89769,44.24,MGB
13,Harsidhi,3,Awadhesh Kumar,Jan Suraaj Party,9487,81,9568,4.72,
13,Harsidhi,4,Ravi Kant Ravi,Kisan Suraj Dal,651,1,652,0.32,
13,Harsidhi,5,Jagdish Ram,Independent,798,2,800,0.39,
13,Harsidhi,6,Rajendra Paswan,Independent,2098,2,2100,1.03,
13,Harsidhi,7,Nota,None of the Above,3142,4,3146,1.55,
14,Govindganj,1,Ajeet Kumar Ram,Bahujan Samaj Party,1805,10,1815,0.99,
14,Govindganj,2,Ashok Kumar Singh,Aam Aadmi Party,929,0,929,0.51,
14,Govindganj,3,Raju Tiwari,Lok Janshakti Party (Ram Vilas),95684,350,96034,52.55,NDA
14,Govindganj,4,Shashi Bhushan Rai Alias Gappu Rai,Indian National Congress,62965,386,63351,34.67,MGB
14,Govindganj,5,Ashutosh Kumar,Janshakti Janta Dal,3465,6,3471,1.9,
14,Govindganj,6,Krishna Kant Mishra,Jan Suraaj Party,9767,63,9830,5.38,
14,Govindganj,7,Nitesh Kumar Shrivastava,The Plurals Party,3768,2,3770,2.06,
14,Govindganj,8,Rahul Kumar Priyadarshy,Akhand Bhartiya Yuva Party,629,1,630,0.34,
14,Govindganj,9,Nota,None of the Above,2906,5,2911,1.59,
15,Kesaria,1,Ram Adhar Rai,Aam Aadmi Party,2658,5,2663,1.51,
15,Kesaria,2,Shalini Mishra,Janata Dal (United),77879,313,78192,44.26,NDA
15,Kesaria,3,Chutun Kumar,Rashtriya Jansambhavna Party,2249,4,2253,1.28,
15,Kesaria,4,Naj Ahamad Khan,Jan Suraaj Party,11132,74,11206,6.34,
15,Kesaria,5,Varun Vijay,Vikassheel Insaan Party,61591,261,61852,35.01,MGB
15,Kesaria,6,Vinod Kumar,Janshakti Janta Dal,3303,10,3313,1.88,
15,Kesaria,7,Chandreshwar Mishra,Independent,4342,0,4342,2.46,
15,Kesaria,8,Punam Devi,Independent,2117,14,2131,1.21,
15,Kesaria,9,Ram Sharan Prasad Yadav,Independent,2767,15,2782,1.57,
15,Kesaria,10,Sunil Kumar,Independent,4562,5,4567,2.58,
15,Kesaria,11,Nota,None of the Above,3378,4,3382,1.91,
16,Kalyanpur,1,Manoj Kumar Yadav,Rashtriya Janata Dal,73030,459,73489,39.46,MGB
16,Kalyanpur,2,Md Badiuzzaman,Bahujan Samaj Party,4439,51,4490,2.41,
16,Kalyanpur,3,Rambabu Das,Aam Aadmi Party,577,2,579,0.31,
16,Kalyanpur,4,Sachindra Prasad Singh,Bharatiya Janata Party,88759,298,89057,47.82,NDA
16,Kalyanpur,5,Arvind Kumar Pandey,Lohiya Janta Dal,2249,1,2250,1.21,
16,Kalyanpur,6,Mantosh Kumar Sahni,Jan Suraaj Party,5158,48,5206,2.8,
16,Kalyanpur,7,Mohit Kumar,Jagrook Janta Party,624,0,624,0.34,
16,Kalyanpur,8,Ashok Kumar Yadav,Independent,2586,19,2605,1.4,
16,Kalyanpur,9,Nitesh Kumar Singh,Independent,1626,0,1626,0.87,
16,Kalyanpur,10,Rakesh Kumar Pandit,Independent,517,0,517,0.28,
16,Kalyanpur,11,Subodh Kumar,Independent,2504,8,2512,1.35,
16,Kalyanpur,12,Nota,None of the Above,3256,4,3260,1.75,
17,Pipra,1,Bipul Kumar,Bahujan Samaj Party,4684,11,4695,1.92,
17,Pipra,2,Rajmangal Prasad,Communist Party of India (Marxist),99129,548,99677,40.74,MGB
17,Pipra,3,Shyam Babu Prasad Yadav,Bharatiya Janata Party,110119,303,110422,45.13,NDA
17,Pipra,4,Amit Kumar Kushwaha,Nationalist Congress Party,2031,10,2041,0.83,
17,Pipra,5,Kundan Kumar,Bharat Jan Jagran Dal,1430,9,1439,0.59,
17,Pipra,6,Jagdish Prasad,Bajjikanchal Vikas Party,851,0,851,0.35,
17,Pipra,7,Shyam Kumar,Kisan Suraj Dal,857,2,859,0.35,
17,Pipra,8,Subodh Kumar,Jan Suraaj Party,9431,56,9487,3.88,
17,Pipra,9,Md Mumtaz Alam,Independent,2045,9,2054,0.84,
17,Pipra,10,Raviranjan Kumar,Independent,4409,1,4410,1.8,
17,Pipra,11,Rajmangal Prasad,Independent,4867,5,4872,1.99,
17,Pipra,12,Nota,None of the Above,3843,7,3850,1.57,
18,Madhuban,1,Kunal Bhushan Alias Bittu,Aam Aadmi Party,2592,10,2602,1.42,
18,Madhuban,2,Rana Randhir,Bharatiya Janata Party,85683,319,86002,46.78,NDA
18,Madhuban,3,Sandhya Rani,Rashtriya Janata Dal,80025,485,80510,43.8,MGB
18,Madhuban,4,Harishchandra Kumar Prasad,Bahujan Samaj Party,1503,5,1508,0.82,
18,Madhuban,5,Vijay Kumar Kushwaha,Jan Suraaj Party,5361,22,5383,2.93,
18,Madhuban,6,Shivshankar Ray,Janshakti Janta Dal,1099,2,1101,0.6,
18,Madhuban,7,Shashi Ranjan Kumar Alias Sonu Singh,Independent,2647,0,2647,1.44,
18,Madhuban,8,Syed Mohammad Imam,Independent,2005,2,2007,1.09,
18,Madhuban,9,Nota,None of the Above,2063,1,2064,1.12,
19,Motihari,1,Dewa Gupta,Rashtriya Janata Dal,91875,642,92517,43.17,MGB
19,Motihari,2,Pramod Kumar,Bharatiya Janata Party,105645,435,106080,49.5,NDA
19,Motihari,3,Fakhre Alam,Bahujan Samaj Party,1146,8,1154,0.54,
19,Motihari,4,Atul Kumar,Jan Suraaj Party,6521,71,6592,3.08,
19,Motihari,5,Sikandar Chaudhary,Rashtriya Jansambhavna Party,510,2,512,0.24,
19,Motihari,6,Sushil Kumar,The Plurals Party,323,0,323,0.15,
19,Motihari,7,Divyanshu Bhardwaj,Independent,2059,23,2082,0.97,
19,Motihari,8,Dukhit Ray,Independent,603,0,603,0.28,
19,Motihari,9,Brajbihari Yadav,Independent,1647,0,1647,0.77,
19,Motihari,10,Nota,None of the Above,2779,22,2801,1.31,
20,Chiraia,1,Lakshmi Narayan Prasad Yadav,Rashtriya Janata Dal,50854,358,51212,25.81,MGB
20,Chiraia,2,Lal Babu Prasad Gupta,Bharatiya Janata Party,90308,264,90572,45.65,NDA
20,Chiraia,3,Mukesh Kumar,Janshakti Janta Dal,2917,3,2920,1.47,
20,Chiraia,4,Mohammad Mahtab Alam,Samaj Shakti Party,773,3,776,0.39,
20,Chiraia,5,Sanjay Kumar,Jan Suraaj Party,15499,91,15590,7.86,
20,Chiraia,6,Achchhelal Prasad,Independent,34656,218,34874,17.58,
20,Chiraia,7,Nota,None of the Above,2474,0,2474,1.25,
21,Dhaka,1,Pawan Kumar Jaiswal,Bharatiya Janata Party,112198,351,112549,45.64,NDA
21,Dhaka,2,Faisal Rahman,Rashtriya Janata Dal,112079,648,112727,45.72,MGB
21,Dhaka,3,Madhusudan Kumar,Aam Aadmi Party,908,4,912,0.37,
21,Dhaka,4,Sikandar Bharti,Bahujan Samaj Party,393,3,396,0.16,
21,Dhaka,5,Kedar Ram,Nayak Yuva Kranti Party,215,0,215,0.09,
21,Dhaka,6,Doctor L. B. Prasad,Jan Suraaj Party,8263,84,8347,3.39,
21,Dhaka,7,Nagina Paswan,Rashtriya Jansambhavna Party,477,0,477,0.19,
21,Dhaka,8,Rana Ranjit,All India Majlis-E-Ittehadul Muslimeen,5704,26,5730,2.32,
21,Dhaka,9,Md Salim,Independent,495,0,495,0.2,
21,Dhaka,10,Subodh Kumar,Independent,1684,1,1685,0.68,
21,Dhaka,11,Nota,None of the Above,3042,5,3047,1.24,
22,Sheohar,1,Navneet Kumar,Rashtriya Janata Dal,65646,225,65871,31.35,MGB
22,Sheohar,2,Md Sharfuddin,Bahujan Samaj Party,16357,112,16469,7.84,
22,Sheohar,3,Shweta Gupta,Janata Dal (United),97081,188,97269,46.29,NDA
22,Sheohar,4,Amrendra Kumar,Bajjikanchal Vikas Party,1464,0,1464,0.7,
22,Sheohar,5,Niraj Singh,Jan Suraaj Party,13880,72,13952,6.64,
22,Sheohar,6,Purushottam Kumar,GaribJanta Party Loktantrik,1023,1,1024,0.49,
22,Sheohar,7,Mamta Kumari,Rashtriya Jansambhavna Party,802,0,802,0.38,
22,Sheohar,8,Anish Kumar,Independent,1100,0,1100,0.52,
22,Sheohar,9,Prakash Kumar,Independent,1363,0,1363,0.65,
22,Sheohar,10,Vijaychandra Jha,Independent,4466,0,4466,2.13,
22,Sheohar,11,Sanjay Sangharsh Singh,Independent,1488,1,1489,0.71,
22,Sheohar,12,Nota,None of the Above,4839,3,4842,2.3,
23,Riga,1,Amit Kumar,Indian National Congress,83975,293,84268,38.84,MGB
23,Riga,2,Baidyanath Prasad,Bharatiya Janata Party,117252,141,117393,54.11,NDA
23,Riga,3,Upendra Sahani,Rashtriya Jansambhavna Party,2255,1,2256,1.04,
23,Riga,4,Krishna Mohan Singh,Jan Suraaj Party,3055,23,3078,1.42,
23,Riga,5,Nagendra Kumar Paswan,Peoples Party of India (Democratic),351,5,356,0.16,
23,Riga,6,Dhiraj Kumar,Independent,423,0,423,0.19,
23,Riga,7,Dr. Pradeep Kumar Jayaswal,Independent,809,1,810,0.37,
23,Riga,8,Motilal Raut,Independent,849,0,849,0.39,
23,Riga,9,Ramnath Mahto,Independent,669,0,669,0.31,
23,Riga,10,Ramashish Ray,Independent,4039,2,4041,1.86,
23,Riga,11,Nota,None of the Above,2796,3,2799,1.29,
24,Bathnaha,1,Anil Kumar,Bharatiya Janata Party,123473,225,123698,57.47,NDA
24,Bathnaha,2,Amrita Soni,Rashtriya Lok Janshakti Party,1873,4,1877,0.87,GDA
24,Bathnaha,3,Navin Kumar,Indian National Congress,71619,310,71929,33.42,MGB
24,Bathnaha,4,Sahdeo Ram,Bahujan Samaj Party,1750,4,1754,0.81,
24,Bathnaha,5,Deepak Raj,Janshakti Vikas Party (Democratic),825,0,825,0.38,
24,Bathnaha,6,Nawal Kishor Choudhary,Jan Suraaj Party,5245,37,5282,2.45,
24,Bathnaha,7,Manoj Sada,Lok Dal,661,1,662,0.31,
24,Bathnaha,8,Sunil Ram,"Proutist Bloc, India",583,0,583,0.27,
24,Bathnaha,9,Archana Kumari,Independent,1664,9,1673,0.78,
24,Bathnaha,10,Pramod Baitha,Independent,1972,0,1972,0.92,
24,Bathnaha,11,Brajesh Paswan,Independent,1191,3,1194,0.55,
24,Bathnaha,12,Nota,None of the Above,3800,7,3807,1.77,
25,Parihar,1,Akhilesh Narayan Thakur,Aam Aadmi Party,2010,3,2013,0.96,
25,Parihar,2,Gayetri Devi,Bharatiya Janata Party,82559,85,82644,39.36,NDA
25,Parihar,3,Smita Gupta,Rashtriya Janata Dal,48374,160,48534,23.11,MGB
25,Parihar,4,Awadhesh Prasad,Jan Suraaj Party,3201,16,3217,1.53,
25,Parihar,5,Chandrabhushan Kumar,Independent,1361,1,1362,0.65,
25,Parihar,6,Mahendra Singh Yadav,Independent,1614,1,1615,0.77,
25,Parihar,7,Mohd Muksaid Alam,Independent,794,0,794,0.38,
25,Parihar,8,Ram Vinod Nayak,Independent,1964,0,1964,0.94,
25,Parihar,9,Ritu Jaiswal,Independent,65271,184,65455,31.17,
25,Parihar,10,Nota,None of the Above,2379,0,2379,1.13,
26,Sursand,1,Anil Kumar,Bahujan Samaj Party,1216,2,1218,0.59,
26,Sursand,2,Rishi Kumar Agrawal,Aam Aadmi Party,1534,7,1541,0.74,
26,Sursand,3,Prof. Nagendra Raut,Janata Dal (United),103962,195,104157,50.04,NDA
26,Sursand,4,Syed Abu Dojana,Rashtriya Janata Dal,80245,245,80490,38.67,MGB
26,Sursand,5,Usha Kiran,Jan Suraaj Party,5951,42,5993,2.88,
26,Sursand,6,Satish Kumar Mishra,Vikas Vanchit Insan Party,924,0,924,0.44,
26,Sursand,7,Kameshwar Thakur,Independent,1768,1,1769,0.85,
26,Sursand,8,Prabhat Kumar,Independent,2303,7,2310,1.11,
26,Sursand,9,Manoj Kumar,Independent,1938,0,1938,0.93,
26,Sursand,10,Rajeev Nand,Independent,3625,0,3625,1.74,
26,Sursand,11,Vinay Kumar,Independent,1044,1,1045,0.5,
26,Sursand,12,Nota,None of the Above,3131,3,3134,1.51,
27,Bajpatti,1,Deonandan Ram,Bahujan Samaj Party,2180,6,2186,0.99,
27,Bajpatti,2,Mukesh Kumar Yadav,Rashtriya Janata Dal,95488,261,95749,43.47,MGB
27,Bajpatti,3,Randhir Kumar,Aam Aadmi Party,1387,2,1389,0.63,
27,Bajpatti,4,Abdul Hasib,Peace Party,795,1,796,0.36,
27,Bajpatti,5,Aajam Khan,Jan Suraaj Party,6138,36,6174,2.8,
27,Bajpatti,6,Mohammad Aftab,Apna Adhikar Party,918,2,920,0.42,
27,Bajpatti,7,Rakesh Kumar,The Plurals Party,3079,1,3080,1.4,
27,Bajpatti,8,Rameshwar Kumar Mehto,Rashtriya Lok Morcha,99034,110,99144,45.02,NDA
27,Bajpatti,9,Sushil Raj,Bhartiya Sarthak Party,1282,1,1283,0.58,
27,Bajpatti,10,Ajeet Kumar Jha,Independent,835,3,838,0.38,
27,Bajpatti,11,Asha Choudhary,Independent,793,1,794,0.36,
27,Bajpatti,12,Mohd. Zeyaur Rahman,Independent,2479,1,2480,1.13,
27,Bajpatti,13,Md. Munna Mansuri,Independent,3102,3,3105,1.41,
27,Bajpatti,14,Nota,None of the Above,2298,5,2303,1.05,
28,Sitamarhi,1,Raj Narayan Sah,Bahujan Samaj Party,1331,3,1334,0.62,
28,Sitamarhi,2,Sunil Kumar,Rashtriya Janata Dal,98243,421,98664,45.54,MGB
28,Sitamarhi,3,Sunil Kumar Pintu,Bharatiya Janata Party,103952,274,104226,48.11,NDA
28,Sitamarhi,4,Upendra Sahani,Rashtriya Jansambhavna Party,2417,2,2419,1.12,
28,Sitamarhi,5,Krishna Kumar Jha,"Proutist Bloc, India",337,1,338,0.16,
28,Sitamarhi,6,Pooja Arya,Lok Dal,168,1,169,0.08,
28,Sitamarhi,7,Chandrika Prasad,Independent,260,1,261,0.12,
28,Sitamarhi,8,Chandeshwar Prasad,Independent,993,2,995,0.46,
28,Sitamarhi,9,Thakur Chandan Kumar Singh,Independent,223,1,224,0.1,
28,Sitamarhi,10,Mahesh Nandan Singh,Independent,454,1,455,0.21,
28,Sitamarhi,11,Raghvendra Kumar,Independent,592,0,592,0.27,
28,Sitamarhi,12,Ram Kishor Ray,Independent,2867,0,2867,1.32,
28,Sitamarhi,13,Vinod Sah,Independent,1825,0,1825,0.84,
