State,District,Constituency_Num,Constituency_Name,Constituency_Category
Bihar,Begusarai,144,Matihani,General
Bihar,Begusarai,145,Sahebpur Kamal,General
Bihar,Begusarai,146,Begusarai,General
Bihar,Begusarai,147,Bakhri,SC
Bihar,Begusarai,148,Alauli,SC
Bihar,Khagaria,149,Khagaria,General
Bihar,Khagaria,150,Beldaur,General
Bihar,Khagaria,151,Parbatta,General
Bihar,Bhagalpur,152,Bihpur,General
Bihar,Bhagalpur,153,Gopalpur,General
Bihar,Bhagalpur,154,Pirpainti,SC
Bihar,Bhagalpur,155,Kahalgaon,General
Bihar,Bhagalpur,156,Bhagalpur,General
Bihar,Bhagalpur,157,Sultanganj,General
Bihar,Bhagalpur,158,Nathnagar,General
Bihar,Banka,159,Amarpur,General
Bihar,Banka,160,Dhauraiya,SC
Bihar,Banka,161,Banka,General
Bihar,Banka,162,Katoria,ST
Bihar,Banka,163,Belhar,General
Bihar,Munger,164,Tarapur,General
Bihar,Munger,165,Munger,General
Bihar,Munger,166,Jamalpur,General
Bihar,Lakhisarai,167,Suryagarha,General
Bihar,Lakhisarai,168,Lakhisarai,General
Bihar,Sheikhpura,169,Sheikhpura,General
Bihar,Sheikhpura,170,Barbigha,General
Bihar,Nalanda,171,Asthawan,General
Bihar,Nalanda,172,Biharsharif,General
Bihar,Nalanda,173,Rajgir,SC
Bihar,Nalanda,174,Islampur,General
Bihar,Nalanda,175,Hilsa,General
Bihar,Nalanda,176,Nalanda,General
Bihar,Nalanda,177,Harnaut,General
Bihar,Patna,178,Mokama,General
Bihar,Patna,179,Barh,General
Bihar,Patna,180,Bakhtiarpur,General
Bihar,Patna,181,Digha,General
Bihar,Patna,182,Bankipur,General
Bihar,Patna,183,Kumhrar,General
Bihar,Patna,184,Patna Sahib,General
Bihar,Patna,185,Fatuha,General
Bihar,Patna,186,Danapur,General
Bihar,Patna,187,Maner,General
Bihar,Patna,188,Phulwari,SC
Bihar,Patna,189,Masaurhi,SC
Bihar,Patna,190,Paliganj,General
Bihar,Patna,191,Bikram,General
Bihar,Bhojpur,192,Sandesh,General
Bihar,Bhojpur,193,Barhara,General
Bihar,Bhojpur,194,Arrah,General
Bihar,Bhojpur,195,Agiaon,SC
Bihar,Bhojpur,196,Tarari,General
Bihar,Bhojpur,197,Jagdishpur,General
Bihar,Bhojpur,198,Shahpur,General
Bihar,Buxar,199,Brahampur,General
Bihar,Buxar,200,Buxar,General
Bihar,Buxar,201,Dumraon,General
Bihar,Buxar,202,Rajpur,SC
Bihar,Kaimur (Bhabua),203,Ramgarh,General
Bihar,Kaimur (Bhabua),204,Mohania,SC
Bihar,Kaimur (Bhabua),205,Bhabua,General
Bihar,Kaimur (Bhabua),206,Chainpur,General
Bihar,Rohtas,207,Chenari,SC
Bihar,Rohtas,208,Sasaram,General
Bihar,Rohtas,209,Kargahar,General
Bihar,Rohtas,210,Dinara,General
Bihar,Rohtas,211,Nokha,General
Bihar,Rohtas,212,Dehri,General
Bihar,Rohtas,213,Karakat,General
Bihar,Arwal,214,Arwal,General
Bihar,Arwal,215,Kurtha,General
Bihar,Jehanabad,216,Jehanabad,General
Bihar,Jehanabad,217,Ghosi,General
Bihar,Jehanabad,218,Makhdumpur,SC
Bihar,Aurangabad,219,Goh,General
Bihar,Aurangabad,220,Obra,General
Bihar,Aurangabad,221,Nabinagar,General
Bihar,Aurangabad,222,Kutumba,SC
Bihar,Aurangabad,223,Aurangabad,General
Bihar,Aurangabad,224,Rafiganj,General
Bihar,Gaya,225,Gurua,General
Bihar,Gaya,226,Sherghati,General
Bihar,Gaya,227,Imamganj,SC
Bihar,Gaya,228,Barachatti,SC
Bihar,Gaya,229,Bodh Gaya,SC
Bihar,Gaya,230,Gaya Town,General
Bihar,Gaya,231,Tikari,General
Bihar,Gaya,232,Belaganj,General
Bihar,Gaya,233,Atri,General
Bihar,Gaya,234,Wazirganj,General
Bihar,Nawada,235,Rajauli,SC
Bihar,Nawada,236,Hisua,General
Bihar,Nawada,237,Nawada,General
Bihar,Nawada,238,Gobindpur,General
Bihar,Nawada,239,Warsaliganj,General
Bihar,Jamui,240,Sikandra,SC
Bihar,Jamui,241,Jamui,General
Bihar,Jamui,242,Jhajha,General
Bihar,Jamui,243,Chakai,General
West Bengal,Cooch Behar,1,Mekliganj,SC
West Bengal,Cooch Behar,2,Mathabhanga,SC
West Bengal,Cooch Behar,3,Cooch Behar Uttar,SC
West Bengal,Cooch Behar,4,Cooch Behar Dakshin,General
West Bengal,Cooch Behar,5,Sitalkuchi,SC
West Bengal,Cooch Behar,6,Sitai,SC
West Bengal,Cooch Behar,7,Dinhata,General
West Bengal,Cooch Behar,8,Natabari,General
West Bengal,Cooch Behar,9,Tufanganj,General
West Bengal,Alipurduars,10,Kumargram,ST
West Bengal,Alipurduars,11,Kalchini,ST
West Bengal,Alipurduars,12,Alipurduars,General
West Bengal,Alipurduars,13,Falakata,SC
West Bengal,Alipurduars,14,Madarihat,ST
West Bengal,Jalpaiguri,15,Dhupguri,SC	
West Bengal,Jalpaiguri,16,Maynaguri,SC
West Bengal,Jalpaiguri,17,Jalpaiguri,SC
West Bengal,Jalpaiguri,18,Rajganj,SC
West Bengal,Jalpaiguri,19,Dabgram-Phulbari,General
West Bengal,Jalpaiguri,20,Mal,ST
West Bengal,Jalpaiguri,21,Nagrakata,ST
West Bengal,Kalimpong,22,Kalimpong,General
West Bengal,Darjeeling,23,Darjeeling,General
West Bengal,Darjeeling,24,Kurseong,General
West Bengal,Darjeeling,25,Matigara-Naxalbari,SC
West Bengal,Darjeeling,26,Siliguri,General
West Bengal,Darjeeling,27,Phansidewa,ST
West Bengal,Uttar Dinajpur,28,Chopra,General
West Bengal,Uttar Dinajpur,29,Islampur,General
West Bengal,Uttar Dinajpur,30,Goalpokhar,General
West Bengal,Uttar Dinajpur,31,Chakulia,General
West Bengal,Uttar Dinajpur,32,Karandighi,General
West Bengal,Uttar Dinajpur,33,Hemtabad,SC
West Bengal,Uttar Dinajpur,34,Kaliaganj,SC
West Bengal,Uttar Dinajpur,35,Raiganj,General
West Bengal,Uttar Dinajpur,36,Itahar,General
West Bengal,Dakshin Dinajpur,37,Kushmandi,SC
West Bengal,Dakshin Dinajpur,38,Kumarganj,General
West Bengal,Dakshin Dinajpur,39,Balurghat,General
West Bengal,Dakshin Dinajpur,40,Tapan,ST
West Bengal,Dakshin Dinajpur,41,Gangarampur,SC
West Bengal,Dakshin Dinajpur,42,Harirampur,General
West Bengal,Maldah,43,Habibpur,ST
West Bengal,Maldah,44,Gazole,SC
West Bengal,Maldah,45,Chanchal,General
West Bengal,Maldah,46,Harishchandrapur,General
West Bengal,Maldah,47,Malatipur,General
West Bengal,Maldah,48,Ratua,General
West Bengal,Maldah,49,Manikchak,General
West Bengal,Maldah,50,Maldaha,SC
West Bengal,Maldah,51,English Bazar,General
West Bengal,Maldah,52,Mothabari,General
West Bengal,Maldah,53,Sujapur,General
West Bengal,Maldah,54,Baisnabnagar,General
West Bengal,Murshidabad,55,Farakka,General
West Bengal,Murshidabad,56,Samserganj,General
West Bengal,Murshidabad,57,Suti,General
West Bengal,Murshidabad,58,Jangipur,General
West Bengal,Murshidabad,59,Raghunathganj,General
West Bengal,Murshidabad,60,Sagardighi,General
West Bengal,Murshidabad,61,Lalgola,General
West Bengal,Murshidabad,62,Bhagabangola,General
West Bengal,Murshidabad,63,Raninagar,General
West Bengal,Murshidabad,64,Murshidabad,General
West Bengal,Murshidabad,65,Nabagram,SC
West Bengal,Murshidabad,66,Khargram,SC
West Bengal,Murshidabad,67,Burwan,SC
West Bengal,Murshidabad,68,Kandi,General
West Bengal,Murshidabad,69,Bharatpur,General
West Bengal,Murshidabad,70,Rejinagar,General
West Bengal,Murshidabad,71,Beldanga,General
West Bengal,Murshidabad,72,Baharampur,General
West Bengal,Murshidabad,73,Hariharpara,General
West Bengal,Murshidabad,74,Naoda,General
